Protein.Group,Genes,Oxy8vs21_Log2FC,Oxy8vs21_tval,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_tval,Oxy60vs21_pval,Oxy60vs21_FDR
Q148V7,RELCH,0.06129660672319301,-0.9999609778093026,0.3173293926868813,0.6882377049145744,0.13784628776247837,-1.5570374768451103,0.11946158784177696,0.43048374830588965
Q149C2,TRAF3IP1,0.08553991932354174,-0.11959746188295081,0.904802030417211,0.9763969675375357,-0.686494357556855,0.8850093653653885,0.37615158023953954,0.7308321015469617
Q149L6,DNAJB14,0.40098199418789804,-1.5395589492170068,0.12366789830549885,0.4824779562943053,0.2640386661818492,-0.9188357996520999,0.35818146421981767,0.7103871395474521
Q14AX6,CDK12,-2.187754999148331,3.484799459369153,0.0004925060124021961,0.02013802361822313,-1.017600931285422,2.0572723860467548,0.03966003202627907,0.2387732679850924
Q14BI2,GRM2,,,,,-0.4297129507464983,1.0900277432882832,0.27570092328782336,0.6301354988407439
Q2KN98,SPECC1L,-0.3670122453309168,3.1489477846349705,0.001638594703723158,0.04345966493478358,-0.16632506361346774,0.921218520962463,0.3569363505019644,0.709844074023094
Q2M3X8,PHACTR1,-0.19092387236806174,2.1656773186542546,0.030335853422775196,0.242029139503117,-0.15147978143658175,1.4402225733603047,0.14980443871966898,0.4715684600266296
Q2PFD7,PSD3,-0.20984934399820762,4.560087276092776,5.113236505683953e-06,0.0006842440123969799,-0.11189213923005333,2.3300375920824345,0.01980416435209769,0.166166369468553
Q2TPA8,HSDL2,0.2747728008375156,-1.0304952645119687,0.30277757408003547,0.6825246386612744,0.11190297032477545,-0.38413570173346756,0.7008778714712142,0.9065346103091501
Q3SXD3,HDDC2,0.12251938105244427,-0.26675149253503566,0.7896605045819356,0.944227997744339,0.48023228384844985,-1.7406800482557587,0.08173967745822737,0.35933886173496793
Q3TAS6,EMC10,-0.42665341603384527,1.138110548106162,0.25507432414010545,0.643455417400795,-0.47790821405375544,1.2684615005037378,0.20463319100719257,0.5529802502490143
Q3TC93,HS1BP3,-0.2793216094096215,0.5747909068277595,0.5654327172802964,0.8419999593693438,0.05385805779141328,-0.12005858509051887,0.9044367393318689,0.9710342778009081
Q3TCJ1,ABRAXAS2,-0.160664075811092,0.5454073598285639,0.5854733797035446,0.8523145458730965,-0.37428164897479305,1.8072899721383313,0.07071707875288068,0.33488637811793365
Q3TCN2,PLBD2,,,,,-0.50708807286575,1.4975646716077111,0.13424639129196436,0.44785994859393186
Q3TDD9,PPP1R21,-0.21162326545135554,0.5066769739267107,0.6123814894419484,0.8666325720251864,,,,
Q3TEA8,HP1BP3,-0.13403957224578497,1.6153234719825051,0.10624066321079938,0.4442791370633428,-0.2156339309202888,2.2709144097590475,0.023152159769600368,0.17897375280736036
Q3TES0,IQSEC3,-0.19804060750516184,1.726697578369149,0.08422199081159593,0.39927462310682516,0.05695359869770003,-0.643577878513007,0.5198491988910192,0.8067888624010358
Q3TGF2,FAM107B,0.21977410711950401,-1.4549467675570156,0.145683999111098,0.5130307337118092,-0.3745388590640599,1.1430597022087234,0.2530138040657336,0.6101418650964725
Q3THE2,MYL12B,-0.026826105665598628,0.3030574462852797,0.7618460829683141,0.9291494255796731,-0.1273136735791312,1.1076793435592966,0.26800032341001256,0.6237953189520208
Q3THG9,AARSD1,-0.2968094108645014,1.4315520886051387,0.15227204968136288,0.5202932838824115,-0.1021049082091549,0.4081681856714906,0.6831502033367277,0.895618049314966
Q3THK3,GTF2F1,-0.07643477477122253,0.9608886603805904,0.33660815300516467,0.7015791852434613,-0.27446633389034114,1.1245317160522983,0.2607875234099607,0.6170648382923242
Q3THS6,MAT2A,-0.3753108680554124,1.9054153669598095,0.05672609923950565,0.33678472469500587,-0.01791140676868374,-0.02138586420388571,0.982937849719363,0.9936993658671098
Q3TIV5,ZC3H15,0.15832464779118513,-0.5276971910903508,0.5977095231363642,0.8604678905200274,0.09448884652747953,-0.5506006734747297,0.5819074470953096,0.8418069965368928
Q3TKT4,SMARCA4,0.6356586738176773,-1.2219223159126436,0.22173700552883002,0.6038139935789123,-0.12159402377560254,0.22139506709794654,0.8247848330250419,0.9465507223991254
