Protein.Group,Genes,Oxy8vs21_Log2FC,Oxy8vs21_tval,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_tval,Oxy60vs21_pval,Oxy60vs21_FDR
O88487,DYNC1I2,-0.4083420591563419,1.4512183281354767,0.14671907485459365,0.43827621078359386,-0.5983464858466072,1.929202209068592,0.05370576404938334,0.32927420479485037
O88492,PLIN4,0.22559226206418773,-3.6230353527316588,0.0002911660086715073,0.00623831540418034,-0.01904528697512015,0.009797354106701309,0.992182967478823,0.9996289935011781
O88522,IKBKG,-0.21980315766166822,0.34272809808690696,0.7318030223692589,0.9118187391018038,-0.5255956353156552,0.9774375605808799,0.3283525754973392,0.7326537384019577
O88531,PPT1,,,,,0.34628517587726704,-1.0439923226363754,0.29648894166757633,0.7003573094229699
O88543,COPS3,-0.16226096252828778,0.047123878851420706,0.9624144959045166,0.9920499818512828,,,,
O88569,HNRNPA2B1,0.16610489132467526,-2.8420432113121823,0.004482541554508743,0.048578241032583125,0.025592318079694813,0.005231625431614915,0.9958257858815266,1.0
O88653,LAMTOR3,-0.1854661082137909,0.32952620070320343,0.7417579934840843,0.9176604329030673,-0.6931413368306665,1.6066009567344877,0.10814193251585291,0.468324336782363
O88667,RRAD,-0.08064276945072912,0.3682390482161471,0.7126949965123996,0.9049478702310033,-0.1672250512789243,0.5423149224810657,0.5876015773835426,0.8775827076926043
O88668,CREG1,0.5224892607917927,-0.6757501511149068,0.4991992888451743,0.78457628533508,,,,
O88685,PSMC3,-0.17759667055230913,1.5284071351571435,0.12641148438425764,0.4044291040579168,-0.04510163286735389,0.4018882644912866,0.687766259848059,0.9108691053753541
O88696,CLPP,-0.16680402912592593,0.7688975538748638,0.44195412967577086,0.7421644123564296,-0.2631413874210294,0.9501318462814428,0.34204526332885776,0.744529220786915
O88746,TOM1,0.23663724067465372,-1.9267408190066446,0.05401193811709142,0.2470318607057085,-0.30300648282904663,1.737431777545915,0.08231098624598789,0.4169905623971273
O88811,STAM2,-0.1422729137097326,0.38683493933672947,0.6988784091866596,0.900282898910804,-0.029785899117552844,0.16464382194917437,0.8692243369446535,0.9722718236953739
O88844,IDH1,-0.05919036815708197,-0.05762717877646558,0.9540456001093057,0.9894548439301273,-0.18663665828205342,0.9155988842742376,0.3598773167538577,0.7587659520076451
O88851,RBBP9,-0.023934805344069377,,,,,,,
O88952,LIN7C,1.7364127627986146,-2.3951114837314265,0.016615312479456995,0.11866261479581548,,,,
O88983,STX8,0.30838752393070373,-0.5867652444209098,0.5573613820264627,0.8174048907138682,0.3419260168928707,-0.37691070632214685,0.7062399647276264,0.922679764103328
O89017,LGMN,-0.12593425377141562,0.5067823972062924,0.6123075087129382,0.8562199521687297,-0.29920421582324597,0.6269950242934551,0.5306624967425599,0.854897282252264
O89020,AFM,0.30758702549064304,-2.0209806465399307,0.0432817685595932,0.21937025802864346,0.2395758339049136,-1.2649040360246162,0.20590573038544557,0.6270588500018012
O89023,TPP1,0.45157486228745614,-1.2481940657166488,0.21195999663972886,0.5274945710767084,-0.11852821323617076,0.32279547679818044,0.7468501387876907,0.9414519355140607
O89053,CORO1A,0.30461900632406547,-1.4748453495951646,0.1402541258355975,0.4259631354402066,0.06913278888896493,-0.19990395072233097,0.8415557005797814,0.9669454063369949
O89079,COPE,0.7512125937759853,-1.1970909438131576,0.23127110941621232,0.5526786512202817,,,,
O89086,RBM3,0.356382498517283,-2.706441047023145,0.006800865624896499,0.0653443996124076,-0.3580318522139792,2.155607475796911,0.03111432831757635,0.24215064212374637
O89103,CD93,0.15152429094294573,-1.0621178016334525,0.2881822095532607,0.6175207661367466,-0.3171740137922504,2.4687461630165974,0.013558735975492031,0.152467528944451
P00329,ADH1,-0.3522045362664103,0.7877887140820201,0.4308203036122038,0.7360669531926195,-0.2580957642312477,0.26708954299815757,0.7894002187072403,0.9561832724341084
P00405,MTCO2,,,,,0.18678891030249736,-0.6971715604480311,0.4856954346302469,0.8236372054624502
P00920,CA2,-0.5974473465623521,,,,0.030285197037664816,,,
P01027,C3,,,,,-2.814439646168777,6.038278249401761,1.5576729847521864e-09,5.018822356871545e-07
P01831,THY1,0.20291569277290006,-0.5306647135771487,0.5956511425136315,0.8444222379450499,,,,
P01872,IGHM,0.05813360859643623,-0.17116223563382585,0.8640962008450044,0.9573946409402664,0.5078368505141799,-1.11433690365186,0.26513468080565594,0.6823194421372392
P01901,H2-K1,-0.36924875846271443,0.7726530028350517,0.43972776740379127,0.7410963457872214,0.1512971639759353,-0.4419322228375787,0.6585382523338013,0.9062679553496583
P01942,HBA,-0.7270331589157522,2.597171508103157,0.009399497813819066,0.08343173297599399,0.32736367226807306,-1.7408132719364262,0.08171631480557982,0.41587994241964676
P02088,HBB-B1,-0.8540547851656527,6.203079798909251,5.536874577905044e-10,5.242896020409045e-08,-0.041634888941044765,0.2886468536684233,0.772851636800915,0.9526120787194139
P02468,LAMC1,0.48371350110969374,-3.847731568185584,0.00011921657326467861,0.0031745670366480133,-0.16245354754281763,0.8550176919761793,0.3925413534567894,0.7813347311055987
P02469,LAMB1,0.37976353524050155,-3.0231470921768513,0.0025016061721936022,0.03129526110717365,-0.37518327050921774,1.373890735637203,0.1694756061933146,0.5628856472949579
P02802,MT1,0.16232656286661065,-0.6070492177530786,0.5438182497720102,0.8109417740600217,-0.08447145658666584,0.2980949294726826,0.7656307114458023,0.9502550663630104
P03953,CFD,0.4411409622631251,-1.9374232892921335,0.05269362204826172,0.24636518191746848,-0.48550406825803566,2.4751886668848093,0.01331658083955851,0.15214901937963657
P04117,FABP4,0.47057342135705277,-5.185377923667584,2.1557725915982698e-07,1.2557375346059921e-05,0.007851700373736366,-0.0653503632297584,0.9478950439515003,0.9956508621728882
P04186,CFB,0.1625359230024402,-0.6518361108942927,0.5145069036043253,0.793908003574886,-0.07007514804463409,0.5925619755631752,0.5534743328235344,0.8628826100031162
P04247,MB,0.05759737446560432,-0.5023578637067776,0.6154158131490464,0.8573670446575893,-0.04736260953527139,0.18087093053954087,0.8564688865628008,0.9712083494440064
P05064,ALDOA,0.05827091395654359,-0.552195992572139,0.5808140796972311,0.8323749384239103,0.0376892359188798,-0.5031396402664524,0.6148660984333538,0.8820563531399226
P05201,GOT1,-0.00974721522448084,-0.48613258993976416,0.6268731617259458,0.8636301355928772,-0.08739923501494636,0.7240061929972315,0.4690619330331347,0.8168343935341593
P05977,MYL1,0.14079462720198058,-0.5758078233862463,0.5647450849546104,0.8215926951613366,0.6244108187978014,-2.206549685907487,0.027345535375247237,0.225754686680154
P06151,LDHA,-0.09333491568774638,0.9550094511070186,0.33957291752001517,0.6600249408313954,0.045108862676264835,-0.17121514537493962,0.8640545990495077,0.9712083494440064
P06537,NR3C1,-0.6276856431645857,1.7428576863409038,0.08135847684635329,0.3120415655177007,-0.5999799509845165,1.680860862853928,0.09278994342433013,0.4352019116871119
P06728,APOA4,0.1381907782950569,-1.0612011913053905,0.28859847812137873,0.6175207661367466,-0.11571647574737545,1.280723131174421,0.20029093207815052,0.6169573452732323
P06745,GPI,-0.008694935844849502,0.11957532176237394,0.9048195698135159,0.9730422219301952,-0.02353816195770274,0.21763590684910056,0.8277128053869023,0.9641944048839578
P06801,ME1,-0.00807572868826298,,,,,,,
P06909,CFH,0.08037749377332162,-1.2418109306420129,0.2143063288294802,0.529542021053067,-0.5246194562962158,4.280679565994727,1.8632347696236054e-05,0.0010720404988757623
P07309,TTR,0.13321795320977328,-1.7193375678839473,0.08555292310579167,0.3208664963162891,-0.251210097449357,1.6833276922551785,0.09231167243566263,0.4352019116871119
P07310,CKM,0.3607196326691355,-4.774579151621746,1.8008344610076107e-06,8.187208378824845e-05,0.19713172685954708,-2.198285641978145,0.027928756934974597,0.225754686680154
P07356,ANXA2,0.29379259849438477,-1.5666800150745832,0.11718950439544296,0.3852563639446929,-0.16409478896172336,0.690987126780774,0.48957363099054807,0.8241384822165756
P07724,ALB,-0.052831253043593894,2.3129017690999256,0.02072804054370943,0.1397124296642621,-0.037604600167316364,1.5981625075717032,0.11000681536175357,0.47309098687687134
P07759,SERPINA3K,-0.07522283404297124,1.536857728497587,0.12432815301491883,0.4016424215247984,-0.4523884637298588,5.015098819986006,5.300621518718679e-07,7.116084388879827e-05
P07901,HSP90AA1,-0.052434523771115606,0.36332885207449706,0.7163592429967609,0.9076309561802857,0.7766113797977606,-2.594801598270443,0.009464553530758125,0.12396256697602716
P08003,PDIA4,0.7087490429032758,-2.3614142584273523,0.018205381261648994,0.1280559647989197,0.22783482873775368,-1.2309005205251264,0.21836007291228943,0.635829538846784
P08032,SPTA1,-0.28546018429905523,,,,0.44844819755526333,,,
P08113,HSP90B1,-0.1882982856498308,1.3813341432990787,0.16717624471485149,0.46989547505103796,-0.19212006988998667,1.4910048744532012,0.1359602151483301,0.5178059257776827
P08207,S100A10,0.29319059686075394,-1.818143359324565,0.06904222436941433,0.28570585589097536,0.031607714783170295,-0.1668140866109331,0.8675163344816419,0.9712083494440064
P08226,APOE,0.05993880155743337,,,,,,,
P08228,SOD1,0.3257428512979713,-2.7376531321697484,0.006187930402781971,0.06176874899685801,-0.017507620128438532,0.06694697716797111,0.9466239145263045,0.9956508621728882
P08607,C4BPA,-0.9326386485234156,1.7332910126098928,0.08304395737635392,0.31602883459425224,-0.7916416619604333,2.025927887878605,0.042772174925540626,0.3022191833554647
P08752,GNAI2,-0.20255313603505504,1.0075735336916465,0.3136592399180089,0.6375024691401043,0.10900230879788968,-0.39378688685634783,0.6937383865939142,0.9153255862430759
P09055,ITGB1,0.07773602833711984,-0.6828981595655991,0.49467119699140727,0.7823563421476332,-0.06376966870781935,1.0817513955340166,0.27936300902559175,0.6861369983972868
P09103,P4HB,-0.025534511109424816,0.3722666936412929,0.7096942940561375,0.9049478702310033,-0.050333534166747955,1.0782658401929945,0.28091513689365855,0.6861369983972868
P09405,NCL,-0.05180882810006794,0.2499141619313477,0.8026537310350472,0.9336759044922499,-0.10035835089833887,1.4889456221748438,0.13650168856155304,0.5186420289449574
P09411,PGK1,0.25758175827005003,-3.246229023122259,0.0011694471932731606,0.01743879654608937,0.1738254194665199,-1.8889925446041933,0.058892827699532996,0.3412818180717541
P09470,ACE,0.048476760832310485,-0.1291371325695038,0.8972491404476315,0.9712469157259978,-0.5044396029288094,1.171242910131172,0.24150115177546516,0.6546822943593359
P09528,FTH1,0.28034724051286364,-3.722191770799132,0.00019750092845026584,0.004781061436770071,0.05152362461945972,-0.17640889318766467,0.8599727184771743,0.9712083494440064
P09541,MYL4,0.07062701689416745,-0.3153883692756861,0.7524667965436753,0.9203399663762538,0.07831975162874136,-0.3660812817233741,0.7143044245210357,0.9265803991276087
P09542,MYL3,0.09074020380169286,-1.155662615368511,0.2478191853590852,0.5695868822556533,0.09200216799461167,-1.1577450492979313,0.24696809400022524,0.6565438934560444
P09581,CSF1R,0.005718840585510527,-0.022202195270337233,0.982286666450807,0.9947464726241761,-0.3328043347447336,1.151559338830963,0.2495021982021739,0.6578527680911656
P09602,HMGN2,0.282994293510402,-1.1399782809022336,0.2542953497521314,0.5750501112005975,-0.2016087186215822,0.6336717274632419,0.526295079677185,0.850798815194025
P09671,SOD2,0.303306813875031,,,,,,,
P0CW02,LY6C1,-0.0327456633270118,0.09165357225370584,0.9269732860311756,0.9776783670238313,-0.031957782674564617,-0.013028984455295895,0.9896046685699481,0.9993028148116112
P0DN34,NDUFB1,0.4242827647185956,-0.6640068576614868,0.5066859219831199,0.7903452373025401,1.2853008086873288,-3.7764907785168336,0.00015905344537651752,0.006249636597599261
P0DOV2,IFI204,0.6680466684719353,-1.953471885566727,0.05076370550506159,0.2426244796447046,,,,
P10107,ANXA1,0.06434703191133265,-0.23944311779535704,0.8107619990233857,0.9363447126267602,-0.01437380337526234,0.033392221590967636,0.973361812476455,0.9993028148116112
P10126,EEF1A1,-0.16450533722592867,0.7653456350046816,0.44406575647425717,0.7443692176870642,0.05040983484082109,-0.15279716051202397,0.8785582370244468,0.974249445987246
P10493,NID1,0.33649681000570675,-4.152391874561675,3.290182218148657e-05,0.0011571508782319052,-0.1161538860838773,0.934269624290354,0.35016482900309653,0.7506132526560049
P10605,CTSB,0.6844262993314252,-6.039338656970847,1.5474715771369896e-09,1.3111304635378856e-07,-0.13771847186069427,1.2024330853680039,0.2291957770094908,0.6449425186588644
