,Protein.Group,Genes,Oxygen,Kd,Kd_pvalue,Half_life
24,A2AQ25,SKT,60,0.1205987138934131,4.2286855027630325e-21,5.747550352589654
25,A2AR02,PPIG,8,0.2722205140716659,8.433112984381545e-06,2.5462709264352665
26,A2AR02,PPIG,21,0.28847296736724715,3.865592671349511e-09,2.4028150259137395
27,A2ASQ1,AGRN,8,0.037131023209789386,6.1595089645670675e-223,18.667602469333538
28,A2ASQ1,AGRN,21,0.03064997355704416,2.6022636944925893e-09,22.614935679141624
29,A2ASQ1,AGRN,60,0.037529922261978245,2.6106430648441055e-44,18.469187751613763
30,A2ASS6,TTN,8,0.0431609688427771,0.0,16.059583441810112
31,A2ASS6,TTN,21,0.04091246583720725,0.0,16.94220004528724
32,A2ASS6,TTN,60,0.04323541989592977,0.0,16.03192896538051
33,A2AUC9,KLHL41,8,0.11118993402324603,2.9081709301367453e-218,6.233902256071415
34,A2AUC9,KLHL41,21,0.096791053624401,0.0,7.16127322314015
35,A2AUC9,KLHL41,60,0.09705962302587584,9.233236571263126e-89,7.141457579895546
37,A3KFX0,NT5C1A,21,0.24288715191111,4.905504731533795e-51,2.853782816859815
39,A3KG59,PM20D2,60,0.15713940083859734,7.942189408049951e-09,4.411033622763382
40,A3KGF9,CCDC9B,8,0.25916764128615405,1.0517432747186131e-05,2.6745128254442174
41,A3KMP2,TTC38,8,0.06095337091846931,2.5107231096417078e-79,11.371761235110244
42,A3KMP2,TTC38,21,0.07214167367013914,2.2954023442942927e-31,9.608138338033216
43,A3KMP2,TTC38,60,0.05791371480710344,6.292292330317582e-74,11.968618881877129
